passageId,type,id,tag
"passage0","info","","公權，"
"passage0","info","","字誠懸，"
"passage0","info","","公綽弟也。"
"passage2","info","","擢進士第。"
"passage2","info","","李聽鎮夏州，"
"passage2","info","","表為掌書記。"
"passage2","info","","因入奏"
"passage2","info","","」即拜右拾遺、侍書學士，"
"passage2","info","","再遷司封員外郎。"
"passage2","info","","帝問公權用筆法，"
"passage9","info","","公綽嘗寓書宰相李宗閔，"
"passage9","info","","乃改右司郎中、弘文館學士。"
"passage9","info","",""
"passage9","info","","文宗復召侍書"
"passage9","info","","遷中書舍人，"
"passage9","info","","充翰林書詔學士。"
"passage9","info","","嘗夜召對子亭，"
"passage9","info","","從幸未央宮，"
"passage12","info","","文宗復召侍書"
"passage21","info","","與周墀同對"
"passage21","info","","」乃自舍人下遷，"
"passage21","info","","仍為學士知制誥。"
"passage21","info","",""
"passage21","info","","轉工部侍郎。"
"passage34","info","","遷學士承旨。"
"passage34","info","",""
"passage34","info","","武宗立"
"passage34","info","","罷為右散騎常侍。"
"passage34","info","","宰相崔珙引為集賢院學士，"
"passage34","info","","知院事。"
"passage34","info","","李德裕不悅，"
"passage34","info","","左授太子詹事，"
"passage34","info","","改賓客。"
"passage34","info","","累封河東郡公，"
"passage34","info","","復為常侍，"
"passage34","info","","進至太子少師。"
"passage36","info","","武宗立"
"passage41","info","","乃以太子太保致仕。"
"passage41","info","","年八十八。"
"passage41","info","","贈太子太師。"
"passage41","info","",""
"passage54","info","","」嘗書京兆西明寺《金剛經》，"
