passageId,type,id,tag
"passage0","info","","龐師古，"
"passage0","info","","曹州南華人，"
"passage0","info","","初名從"
"passage1","info","","以中涓從太祖，"
"passage2","info","","及太祖鎮汴，"
"passage2","info","","即以師古為偏將，"
"passage2","info","","援陳破蔡"
"passage3","info","","及朱珍以罪誅，"
"passage3","info","","遂用師古為都指揮使。"
"passage3","info","","乃渡淮"
"passage3","info","","攻滁州，"
"passage3","info","","破天長，"
"passage3","info","","下高郵，"
"passage5","info","","尋代朱友裕領軍，"
"passage5","info","","攻下徐州，"
"passage5","info","","斬時溥首以獻。"
"passage5","info","","遂移軍伐兗州，"
"passage5","info","","入中都，"
"passage5","info","","寨于梁山，"
"passage5","info","","敗於朱瑄之眾，"
"passage5","info","","又破朱瑾于清河。"
"passage5","info","","從討汶陽，"
"passage5","info","","與朱瑄、朱瑾及晉將史儼兒戰于故樂亭，"
"passage8","info","","乾寧四年正月"
"passage8","info","","復統諸軍伐鄆"
"passage8","info","","擒其帥朱瑄以獻，"
"passage8","info","","始表為天平軍節度留後，"
"passage8","info","","尋授徐州節度使，"
"passage8","info","","官至檢校司徒。"
"passage8","info","","乾寧四年八月，"
"passage8","info","","與葛從周分統大軍，"
"passage8","info","","渡淮以伐楊行密。"
"passage8","info","","師古寨于清口，"
"passage8","info","","《玉堂閒話》云：龐從會軍五萬于清口，"
"passage16","info","","朱瑾與瓚率五十騎潛濟淮，"
"passage16","info","","遂斬龐從"
"passage17","info","","師古沒于陣。"
"passage17","info","",""
