passageId,type,id,tag
"passage0","info","","畢士安，"
"passage0","info","","字仁叟，"
"passage0","info","","代州雲中人。"
"passage0","info","","曾祖宗昱"
"passage0","info","","本縣令。"
"passage0","info","","祖球"
"passage0","info","","本州別駕。"
"passage0","info","","父乂林"
"passage0","info","","累闢使府，"
"passage0","info","","終觀城令，"
"passage4","info","","得楊璞、韓丕、劉錫為友，"
"passage7","info","",""
"passage7","info","","舉進士。"
"passage7","info","","邠帥楊廷璋闢幕府，"
"passage7","info","","掌書奏。"
"passage7","info","","歷濟州團練推官，"
"passage11","info","","改兗州觀察推官。"
"passage11","info","","太平興國初，"
"passage11","info","","為大理寺丞，"
"passage11","info","","領三門發運事。"
"passage11","info","","吳越錢俶納土，"
"passage11","info","","選知台州，"
"passage14","info","","遷左贊善大夫，"
"passage14","info","","徙饒州，"
"passage14","info","","改殿中丞。"
"passage14","info","","為監察御史。"
"passage14","info","","復出知幹州"
"passage14","info","","改監汝州稻田務。"
"passage14","info","",""
"passage20","info","","士安遷左拾遺兼冀王府記室參軍。"
"passage23","info","",""
"passage23","info","","士安本名士元"
"passage24","info","","士安本名士元"
"passage25","info","","遷考功員外郎。"
"passage29","info","","」俄以本官知制誥，"
"passage30","info","","淳化二年，"
"passage30","info","","召入翰林為學士。"
"passage32","info","","」士安以父名乂林抗章引避"
"passage34","info","","與蘇易簡同知貢舉，"
"passage34","info","","加主客郎中。"
"passage34","info","","改右諫議大夫、知穎州。"
"passage34","info","","真宗以壽王尹開封府，"
"passage34","info","","召為判官。"
"passage34","info","","及為皇太子，"
"passage34","info","","以兼右庶子遷給事中。"
"passage34","info","","命權知開封府事，"
"passage34","info","","拜工部侍郎、樞密直學士。"
"passage34","info","",""
"passage34","info","","拜禮部侍郎，"
"passage34","info","","復為翰林學士。"
"passage48","info","","士安以目疾求解，"
"passage48","info","","改兵部侍郎，"
"passage48","info","","出知潞州，"
"passage49","info","","入為翰林侍讀學士。"
"passage49","info","","兼秘書監。"
"passage49","info","","士安首疏五事應詔，"
"passage49","info","","真宗嘉納。"
"passage49","info","",""
"passage49","info","","進士安吏部侍郎、參知政事。"
"passage62","info","","以本官與準同拜平章事。"
"passage62","info","","士安兼監修國史，"
"passage70","info","",""
"passage72","info","","士安與寇準條所以御備狀，"
"passage72","info","","又合議請真宗幸澶淵。"
"passage72","info","","士安言澶淵之行，"
"passage72","info","","卒用士安議。"
"passage94","info","",""
"passage108","info","","年六十八。"
"passage108","info","","贈太傅、中書令，"
"passage108","info","","謚文簡。"
"passage108","info","","錄其子世長為太子中舍，"
"passage108","info","","慶長為大理寺丞，"
"passage108","info","","孫從古為將作監主簿。"
"passage108","info","",""
"passage115","info","","有文集三十卷。"
"passage115","info","","唯王祐、呂端見引重，"
"passage115","info","","王旦、寇準、楊億相友善，"
"passage115","info","","王禹偁、陳彭年皆門人也。"
"passage115","info","","禹偁"
"passage115","info","","濟州人。"
"passage115","info","","幼時以事至士安官舍，"
"passage115","info","","士安識其非常童，"
"passage115","info","","教以學，"
"passage120","info","","後遂登科進用，"
"passage120","info","","及士安知制誥，"
"passage120","info","","其命乃禹偁詞也"
"passage122","info","",""
