passageId,type,id,tag
"passage0","info","","盧杞，"
"passage0","info","","字子良。"
"passage0","info","","父弈"
"passage3","info","","僕固懷恩闢朔方府掌書記，"
"passage4","info","","補鴻臚丞，"
"passage4","info","","出為忠州刺史。"
"passage4","info","","上謁節度府衛伯玉，"
"passage4","info","","伯玉不喜，"
"passage4","info","","乃謝歸"
"passage6","info","","稍遷吏部郎中，"
"passage6","info","","為虢州刺史。"
"passage12","info","","俄召為御史中丞，"
"passage13","info","","逾年遷大夫，"
"passage13","info","","擢門下侍郎、同中書門下平章事。"
"passage18","info","","楊炎與杞俱輔政，"
"passage18","info","","炎鄙杞才下，不悅"
"passage18","info","","譖罷炎"
"passage19","info","","時大理卿嚴郢與炎有隙，"
"passage19","info","","即擢郢御史大夫以自助，"
"passage20","info","","即薦鎰守鳳翔。"
"passage20","info","","既又惡郢"
"passage26","info","","杞奏"
"passage26","info","","願下詹三司雜治，"
"passage26","info","","並劾大夫郢。"
"passage26","info","","詹善張鎰，"
"passage32","info","","有詔詹杖死"
"passage32","info","","流郢費州。"
"passage32","info","","杜佑判度支，"
"passage32","info","","帝尤寵禮"
"passage34","info","","杞短毀百緒"
"passage34","info","","訖貶蘇州刺史。"
"passage34","info","","李希烈反，"
"passage34","info","","杞素惡顏真卿挺正敢言，"
"passage34","info","","即令宣慰其軍，"
"passage34","info","","卒為賊害"
"passage36","info","","故宰相李揆有雅望，"
"passage36","info","","遣為吐蕃會盟使，"
"passage37","info","","李洧以徐州降，"
"passage37","info","","使人誤先白鎰，"
"passage37","info","",""
"passage41","info","","杞乃以戶部侍郎趙贊判度支，"
"passage56","info","",""
"passage56","info","","帝出奉天"
"passage56","info","","杞與關播從。"
"passage56","info","","崔寧自賊中來，"
"passage56","info","","以播遷事指杞"
"passage56","info","","杞即誣寧反，帝殺之"
"passage58","info","","帝出奉天"
"passage60","info","","杞請道漠穀"
"passage61","info","","渾瑊曰：「不然"
"passage62","info","","」帝從杞議"
"passage62","info","","奔還邠州。"
"passage62","info","",""
"passage71","info","","詔懷光無朝，進屯便橋。"
"passage72","info","","為奸臣沮間，不一見天子"
"passage72","info","","遂謀反，因暴言杞等罪惡"
"passage73","info","","貶為新州司馬。"
"passage79","info","","俄徙吉州長史。"
"passage79","info","","詔拜饒州刺史。"
"passage86","info","","」乃詔為澧州別駕。"
"passage92","info","","杞遂死澧州。"
