passageId,type,id,tag
"passage0","info","","李百藥，"
"passage0","info","","字重規，"
"passage0","info","","定州安平人。"
"passage0","info","","隋內史令德林子也。"
"passage0","info","","祖母趙以「百藥」名之。"
"passage4","info","","號奇童。"
"passage4","info","","引廕補三衛長。"
"passage8","info","","開皇初"
"passage8","info","","授太子通事舍人，"
"passage8","info","","兼學士。"
"passage10","info","","十九年"
"passage10","info","","召見仁壽宮，"
"passage10","info","","襲父爵安平公。"
"passage10","info","","僕射楊素、吏部尚書牛弘愛其才，"
"passage10","info","","署禮部員外郎。"
"passage10","info","","奉詔定五禮、律令、陰陽書。"
"passage14","info","","以疾去舍人也，"
"passage14","info","","煬帝在揚州，"
"passage14","info","","召不赴"
"passage15","info","","為桂州司馬。"
"passage17","info","","大業九年，"
"passage17","info","","戍會稽，"
"passage18","info","","」乃授建安郡丞。"
"passage18","info","","至烏程，"
"passage20","info","","百藥勸朝京師，"
"passage20","info","","既至歷陽，"
"passage21","info","","伏威詒書輔公祏使殺之，"
"passage21","info","","為王雄誕保護得免。"
"passage21","info","","授吏部侍郎。"
"passage25","info","","猶貶涇州司戶。"
"passage25","info","",""
"passage25","info","","貞觀元年，"
"passage25","info","","拜中書舍人，"
"passage25","info","","封安平縣男。"
"passage25","info","","除禮部侍郎。"
"passage25","info","","百藥上《封建論》，"
"passage25","info","","帝納其言而止。"
"passage31","info","","四年，"
"passage31","info","","授太子右庶子。"
"passage35","info","","遷散騎常侍，"
"passage35","info","","進左庶子、宗正卿，"
"passage38","info","","年八十四，"
"passage38","info","","謚曰康"
"passage39","info","",""
"passage45","info","","所撰《齊史》行於時。"
